,work_year,experience_level,job_title,remote_ratio,company_size,salary_in_usd,Projection,,SUMMARY OUTPUT,,,,,,,
600,2022,1,92893,0,2,67000,33665,,,,,,,,,
601,2022,1,92893,0,2,52000,33665,,Regression Statistics,,,,,,,
50,2020,1,92893,0,1,6072,3957,,Multiple R,0.586248942,,,,,,
86,2021,1,92893,50,2,59102,29516,,R Square,0.343687822,,,,,,
124,2021,1,92893,50,2,10354,29516,,Adjusted R Square,0.335625019,,,,,,
5,2020,1,92893,100,3,72000,33786,,Standard Error,46748.53774,,,,,,
51,2020,1,92893,100,3,91000,33786,,Observations,413,,,,,,
79,2021,1,92893,100,2,80000,36013,,,,,,,,,
122,2021,1,92893,100,2,50000,36013,,ANOVA,,,,,,,
38,2020,1,92893,100,1,10000,16950,,,df,SS,MS,F,Significance F,,
118,2021,1,92893,100,1,90000,27595,,Regression,5,4.66E+11,9.32E+10,42.62634,0,,
172,2021,1,92893,100,1,60000,27595,,Residual,407,8.89E+11,2.19E+09,,,,
326,2022,4,92893,100,2,130000,159705,,Total,412,1.36E+12,,,,,
327,2022,4,92893,100,2,110000,159705,,,,,,,,,
100,2021,2,92893,0,3,75000,69120,,,Coefficients,Standard Error,t Stat,P-value,Lower 95%,,
103,2021,2,92893,0,3,62000,69120,,Intercept,-21653726.46,7724131,-2.80339,0.005299,-3.70E+07,,
307,2022,2,92893,0,2,106260,71347,,work_year,10645.07004,3821.329,2.785698,0.005591,3133.064,,
308,2022,2,92893,0,2,126500,71347,,experience_level,37682.41233,3553.622,10.60394,2.32E-23,30696.67,,
530,2022,2,92893,0,2,85000,71347,,job_title,1.168463646,0.308896,3.782708,0.000178,0.561233,,
531,2022,2,92893,0,2,75000,71347,,remote_ratio,129.9328587,55.25268,2.351612,0.019168,21.3166,,
567,2022,2,92893,0,2,65438,71347,,company_size,8417.607982,3946.017,2.133191,0.033507,660.4898,,
586,2022,2,92893,0,2,45807,71347,,,,,,,,,
367,2022,2,92893,0,1,58000,62930,,,,,,,,,
